Topic ID,Topic Name,Platform,Hook Starter,Story Arc,Visual Direction,CTA,Hashtags,Duration
1,The Law of the Lid,IG Reels + TikTok,Dulu aku pikir pemimpin itu hanya ada di kantor corporate...,Ika di rumah → stage → audience listening,Personal moments + journey,Tau gak? Kamu juga bisa jadi leader walau dari rumah,#MaxwellLeadership #IbuTangguh #LeadershipWanita,30-45s
2,The Law of Influence,TikTok + IG Reels,Suami bilang 'kamu pengaruhi hidup gue lebih dari bos gue'...,Unaware pengaruh → realization → intentional influence,Day-in-life + moments dengan keluarga komunitas,Tau gak kamu punya pengaruh? Share di comment,#LeadershipWanita #PerempuanBerdaya #Influence,30-60s
3,The Law of Process,IG Reels + TikTok,Gue dulu ngarep jualan Atomy dalam sebulan langsung booming. Ternyata...,Expectation vs reality → frustration → shift to process → consistency,Time-lapse 30 days Ika sharing consistently,Consistency is key. Join 7-hari challenge kami,#Konsistensi #GrowthMindset #30Days,30-60s
4,The Law of Addition,TikTok + IG Reels,Waktu awal mulai komunitas aku fokus 100% give value...,Give mindset → people respond positively → real community forms,Ika helping other members (clips),Join komunitas kami. Value first.,#Komunitas #IbuHebat #Leadership,30-45s
5,The Law of Respect,IG Reels,Dulu pikir harus perfect biar di-respect...,Perfectionism trap → vulnerability → people respect authentic journey,Authentic moments unfiltered,Follow buat more content like this,#Authentic #Leadership #Respect,30-45s
6,The Law of Intuition,TikTok + IG Reels,Ibu punya superpower yang gak realize — intuition...,Gut feeling underrated → validate with data → trust the combo,Decision-making moments authentic,Trust your gut Bunda,#Intuition #MothersWisdom #Leadership,30-60s
7,The Law of Victory,IG Reels + TikTok,Awal mulai gue competitive — pengen gue yang sukses dulu...,Shift from individual win → collective win → community thrives,Community celebration clips,Menang bareng lebih seru!,#TeamWork #Komunitas #Victory,30-45s
8,The Law of Timing,TikTok,Pernah keprovoke posting hal yang salah di waktu yang salah?...,Wrong timing → impact missed → reflection and learning,Decision moments authentic,Timing matters Bunda,#Timing #Leadership #Strategy,30-45s
9,The Law of Priorities,IG Reels,Time management SALAH — yang perlu PRIORITY management...,Many roles → confusion → clarity after system,Routine showing what gets prioritized,Apa prioritas kamu #1?,#Priorities #TimeManagement #Leadership,30-45s
10,The Law of Legacy,IG Reels + TikTok,Gue mikir: sukses bukan soal gue tapi siapa yang gue develop...,Self-focused mindset → people-focused → legacy building,Mentoring + community development moments,Build your legacy Bunda,#Legacy #Mentorship #Leadership,30-60s
11,From Housewife to Leader,IG Reels + TikTok,Happy SAHM moment → curiosity spark → first step → community...,Home clips → meeting clips → stage clips → audience,Full journey montage diverse angles,Your story matters too!,#SAHM #Leadership #Transformation #Women,60s
12,The Atomy Discovery,TikTok,Ini produk yang bikin aku gak bolak-balik dokter...,Problem (health) → discover Atomy → life change (energy),Before-after daily moments,Try Atomy itu,#Atomy #HealthyLiving #Wellness,30s
13,Motherhood + Leadership,IG Reels,Kadang merasa guilty: doing leadership = neglect motherhood...,Guilt about dual role → reframe as integrated → both possible,Motherhood + leadership moments same time,Kamu bisa keduanya Bunda!,#Motherhood #Leadership #Women #Balance,30-45s
14,Maxwell Certification,IG Reels + TikTok,Sertifikasi Maxwell beda dari kursus lain. Kenapa?...,Enrollment → intensive learning → aha moments → certification,Learning journey transformative moments,Get certified today,#Learning #MaxwellLeadership #Development,45-60s
15,First Sales / Commitment,TikTok + IG Reels,First time invite Bunda buat attend challenge...,Nervousness → doing it anyway → person says yes → relief,Genuine invitation moments authentic emotion,You can do this!,#FirstWin #Community #Sales #Courage,30-45s
16,7-Day Challenge Origin,TikTok + IG Reels,Lihat pattern — Bunda excited dulu tapi stuck day 2...,Problem identified → solution designed and tested → launch momentum,People joining challenge energy building,Join challenge. Free 30 hari mastery.,#7DayChallenge #Growth #Challenge,30-45s
17,Failure Comeback,IG Reels,Ada moment aku mau tutup komunitas dan stop...,Failure moment vulnerability → community support → reflection → comeback,Raw honest moments + support received,Your comeback story?,#Resilience #FailureToSuccess #Leadership,45-60s
18,Daily Discipline,TikTok,Morning routine gue gak sexy kaya Instagram...,Unglamorous reality of discipline shown → consistency required → system,Day-in-life footage unfiltered authentic,Build discipline today,#Discipline #Routine #Consistency,30-45s
19,Community from Zero,IG Reels + TikTok,Komunitas pertama gue ... cuma 5 orang Zoom call...,Small humble start → organic growth through value → 100+ members,Growth progression clips showing journey,From 5 to 100 members!,#CommunityBuilding #Growth #Leadership,30-60s
20,Partnership Collaboration,IG Reels,Moment ini breakthrough — Bunda X offer 'mau kerja sama?'...,Solo struggle → collaboration opportunity → mutual growth,Partnership formation moments authentic,Partner dengan kami!,#Collaboration #Partnership #Leadership,30-45s
