Topic ID,Topic Name,Cluster,Maxwell Law / Theme,Core Insight,Target Angle,Status
1,The Law of the Lid,Maxwell Laws,Maxwell Law #1,Kapasitas diri = atap kesuksesan,Why ibu rumah tangga bisa jadi leader,Draft
2,The Law of Influence,Maxwell Laws,Maxwell Law #2,Pengaruh ≠ posisi formal,Jadi influencer soal impact bukan follower,Draft
3,The Law of Process,Maxwell Laws,Maxwell Law #3,Success bukan sekali jadi,30 hari kecil-kecilan > omong kosong besar,Draft
4,The Law of Addition,Maxwell Laws,Maxwell Law #4,Giving value before asking,Ibu yang memberi value adalah ibu yang dipercaya,Draft
5,The Law of Respect,Maxwell Laws,Maxwell Law #5,Respect = integrity + competence,Gimana jadi leader yang di-respect meski masih belajar?,Draft
6,The Law of Intuition,Maxwell Laws,Maxwell Law #6,Intuisi + data = better decisions,Mother's intuition itu valid decision-making tool,Draft
7,The Law of Victory,Maxwell Laws,Maxwell Law #7,Leaders find way for team to win,Bagaimana Ika bantu komunitas menang?,Draft
8,The Law of Timing,Maxwell Laws,Maxwell Law #8,When to lead = how to lead,Timing adalah skill yang bisa di-develop,Draft
9,The Law of Priorities,Maxwell Laws,Maxwell Law #9,Fokus pada yang matter most,Ibu punya banyak role — mana yang di-prioritize?,Draft
10,The Law of Legacy,Maxwell Laws,Maxwell Law #10,Leader value = succession,Apa legacy yang mau Ika tinggalkan?,Draft
11,From Housewife to Leader,Personal Narrative,Career pivot,SAHM → leadership path,Gak perlu resign jadi ibu buat jadi leader,Draft
12,The Atomy Discovery,Personal Narrative,Product journey,Atomy + community = lifestyle shift,Produk yang mengubah cara gue lihat health,Draft
13,Motherhood + Leadership,Personal Narrative,Role integration,Motherhood ≠ contradiction,Baik ibu OR leader is false choice,Draft
14,Maxwell Certification,Personal Narrative,Transformation,Certification = transformational,Apa yang aku pelajari dari sertifikasi Maxwell,Draft
15,First Sales / Commitment,Personal Narrative,Milestone,First W bukan sendirian,Victory pertama di komunitas itu special,Draft
16,7-Day Challenge Origin,Personal Narrative,Product creation,Challenge designed from observation,Gimana ide 7-day challenge lahir,Draft
17,Failure & Comeback,Personal Narrative,Resilience,Recovery adalah skill,Story yang gak di-share: gimana bounce back,Draft
18,Daily Discipline,Personal Narrative,Routine,Leadership via discipline,Morning routine Ika (unglamorous version),Draft
19,Community from Zero,Personal Narrative,Growth,Komunitas gak instant,How Komunitas Tumbuh Bersama started,Draft
20,Partnership Collaboration,Personal Narrative,Multiplication,Akuisisi via partnerships,Power of multiplying through partnerships,Draft
21,Bunda Transformation,Community/Lifestyle,Social proof,Concrete before→after,Real transformation takes 90 days,Draft
22,Atomy Juice Ritual,Community/Lifestyle,Product feature,Daily ritual,Morning juice routine,Draft
23,Skincare Journey,Community/Lifestyle,Product feature,Transformation,Perubahan kulit setelah consistent,Draft
24,Wellness Routine,Community/Lifestyle,Product feature,Health,Dari sering sakit → sehat konsisten,Draft
25,Atomy for Family,Community/Lifestyle,Product feature,Family benefit,Gimana Atomy jadi family decision?,Draft
26,Community Events,Community/Lifestyle,Offline experience,Connection,Why in-person gathering matters,Draft
27,Success Metrics Day,Community/Lifestyle,Celebration,Growth,Dari 10 → 150 members dalam 6 bulan,Draft
28,Quarterly Review,Community/Lifestyle,Reflection,Wisdom,3-bulan review: gila apa berubah,Draft
29,Gratitude Post,Community/Lifestyle,Appreciation,Emotional connection,Who made this possible,Draft
30,Next Chapter / Vision 2027,Community/Lifestyle,Future vision,Where komunitas heading,Scaling dengan integrity,Draft
