Topic ID,Topic Name,Platform,Claim,Framework/Content,Example,CTA,Duration
1,The Law of the Lid,IG Carousel + TikTok + LinkedIn,Your leadership ability determines your effectiveness,Slide 1: Apa itu Lid? | Slide 2: 3 elemen (Knowledge+Skill+Mindset) | Slide 3: Contoh Ibu manage 3 anak+bisnis | Slide 4: Gimana upgrade? | Slide 5: Actions (1.Belajar 2.Praktik 3.Reflect) | Slide 6: Pertanyaan reflektif,Ibu rumah tangga managing family + business expanded capacity,Tulis di comment: lid kamu sekarang apa?,45-90s
2,The Law of Influence,IG Carousel + LinkedIn article,Influence ≠ Follower. Real influence = impact to decisions,Myth vs Reality | Definition of real influence | 5 ways develop influence without formal power | Example real community RT | Framework Trust→Authority→Action | Action item,Ibu RT influences 20+ orang tanpa formal position followers,Siapa yang bisa kamu influence hari ini?,45-90s
3,The Law of Process,IG Carousel + TikTok,Success is not an event. It's a process.,Myth: Overnight success | Reality: Process always | 3 Phases (Learn→Practice→Teach) | Timeline example Ika 3 years | Barriers in phase 1 + how overcome | 30 Day Challenge,Ika 30-day consistency case showing growth,Apakah kamu siap 30 hari?,45-90s
4,The Law of Addition,IG Carousel + LinkedIn,Value others first = they value you,Listen first understand pain | Solve small problem quick win | Build trust through consistency,Ika giving value before selling product,Siapa yang perlu kamu bantu hari ini?,45-60s
5,The Law of Respect,IG Carousel,4 Pillars of Respect as Leader,Integrity (word=action) | Competence (continuous learning) | Vulnerability (honest about gaps) | Consistency (reliable),Ika respected despite admitting still learning,Which pilar strongest in you?,45-60s
6,The Law of Intuition,IG Carousel,Intuition in Leadership Framework,Definition pattern recognition from experience | Intuition vs impulsive (how to tell) | Framework Gut+Data=Decision,Mother's intuition + verified data = decision,Trust your intuition + data,45-60s
7,The Law of Victory,IG Carousel + LinkedIn,Team Victory Strategy,Define "menang" for each member | Remove barriers to success | Celebrate wins together,Community wins celebrated regularly,Apa team victory kamu defined?,45-60s
8,The Law of Timing,IG Carousel,3 Elements of Timing in Leadership,Know your audience deeply | Understand context full situation | Execute at perfect moment momentum,Timing matters in real vulnerable moments,What's your timing?,45-60s
9,The Law of Priorities,IG Carousel,Urgent vs Important Matrix,Show real daily routine | Urgent ≠ Important concept | Use matrix to prioritize,Ika's daily priority breakdown shown,What's your top 3 priorities?,45-60s
10,The Law of Legacy,LinkedIn article,3 Elements of Legacy Building,Develop future leaders | Document knowledge systems | Create repeatable processes,Systems Ika built for community continuation,What legacy do you want to leave?,45-90s
11,From Housewife to Leader,LinkedIn article,3-Year Journey SAHM to Leader,Year 1 Discovery (Atomy + Maxwell) | Year 2 Growth (Community formation) | Year 3 Impact (100+ members),Ika real documented journey over 3 years,Your transformation story starts when?,500-1000w
12,Atomy Discovery,IG Carousel,Atomy Products Ika Recommends + Why,Jus benefits science | Skincare benefits + before-after | Wellness routine benefits | Family impact,Real product use cases with results,Which Atomy product for your need?,45-60s
13,Motherhood + Leadership,IG Carousel + LinkedIn,Framework Merge Motherhood + Leadership,Motherhood values (care compassion patience) | Leadership skills (vision decisiveness) | Integration points real examples,Ika balancing motherhood + 150 member community,How do you balance both roles?,45-90s
14,Maxwell Certification,LinkedIn article,What Maxwell Certification Teaches,Leadership principles deep dive | Practical application immediately | Community impact multiplier | Personal transformation documented,Ika's certification journey changes,Get certified. Change your community.,500-1000w
15,First Sales,IG Carousel,5 Steps to Get First Yes,Identify real need not assumption | Connect your solution to their need | Build micro-trust | Ask clear specific | Celebrate it,Ika's first community member joined,What's your first yes target?,45-60s
16,7-Day Challenge,LinkedIn + IG Carousel,Psychology Behind 7-Day Commitment,Habit formation science (66 days theory) | But 7 days creates momentum | Milestone psychology powerful | Community power multiplies effort | Framework track progress,7-day challenge designed on behavior science,Join 7-day free challenge today,45-90s
17,Failure Comeback,LinkedIn article,What Failure Taught Me About Leadership,Failure definition ≠ end | Recovery steps systematic | Lessons learned documented | New approach tested + refined,Ika's failure moment + full recovery,Your comeback story waiting?,500-1000w
18,Daily Discipline,IG Carousel,Science Behind Morning Routine + Leadership,Science of habit formation building blocks | Ika's specific routine unglamorous detailed | Leadership emerges from discipline | How to start today,Morning routine breakdown step by step,What's your routine stacking?,45-60s
19,Community from Zero,LinkedIn article,Principles of Building Sustainable Community,Start small with real people | Give value first before asking | Build culture explicitly intentional | Scale gradually preserving culture,Komunitas Tumbuh Bersama from 5 to 150,Build your community today,500-1000w
20,Partnership,LinkedIn,Developing Strategic Partnerships,Identify aligned partners shared values | Align on mission + KPIs | Collaborate for mutual growth | Celebrate together publicly,Ika's partnership examples + results,Who's your ideal partner?,45-90s
